word,frequency
share,2
level,2
'The,2
contribute,2
information,2
good,2
start,2
relevant,2
put,2
many,2
'More,2
risk,2
important,2
https,2
attention,2
training,2
create,2
get,2
technologies,2
haha,2
say,2
current,2
help,2
looking,2
much,2
way,2
forward,2
disinfo,2
attacks,2
made,2
GenAI,2
little,2
using,2
practical,2
impact,2
taking,2
levels,2
want,2
input,2
something,2
injection,2
model,3
OWASP,3
believe,3
poisoning,3
use,3
enterprise,3
work,3
highlight,3
risks,3
source,3
different,3
hope,3
love,3
systems,3
prompt,3
even,3
focus,3
Top,4
data,4
like,4
could,4
also,4
LLMs,4
vulnerabilities,4
example,5
direction,5
think,5
vector,5
issues,5
project,6
LLM,7
would,7
security,8
